date,campaign_id,campaign_name,spend,impressions,clicks
2026-07-01,23851420073650412,PROSPECTING | Broad | FR,67.19,6632,68
2026-07-18,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,39.71,2810,46
2026-07-19,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,50.11,3592,72
2026-07-20,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,39.47,2646,54
2026-07-21,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,40.94,4282,53
2026-07-22,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,44.28,3394,49
2026-07-23,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,38.55,2757,50
2026-07-24,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,33.04,4080,41
2026-07-25,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,43.58,2783,51
2026-07-26,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,52.94,5245,71
2026-07-27,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,41.94,3311,54
2026-07-28,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,46.91,4186,60
2026-07-29,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,37.73,2857,47
2026-07-30,23851420073650414,LOOKALIKE 1% | Kopers 180d | FR,41.76,5580,54
2026-07-01,23851420073650415,RETARGETING | ATC 14d | FR,16.96,1804,30
2026-07-02,23851420073650415,RETARGETING | ATC 14d | FR,17.53,1449,25
2026-07-03,23851420073650415,RETARGETING | ATC 14d | FR,15.11,1367,26
2026-07-04,23851420073650415,RETARGETING | ATC 14d | FR,20.25,1633,29
2026-07-05,23851420073650415,RETARGETING | ATC 14d | FR,14.87,1706,22
2026-07-06,23851420073650415,RETARGETING | ATC 14d | FR,13.28,1199,23
2026-07-07,23851420073650415,RETARGETING | ATC 14d | FR,14.51,1447,26
2026-07-08,23851420073650415,RETARGETING | ATC 14d | FR,15.42,1729,27
2026-07-09,23851420073650415,RETARGETING | ATC 14d | FR,16.59,2952,29
2026-07-10,23851420073650415,RETARGETING | ATC 14d | FR,17.14,1957,28
2026-07-11,23851420073650415,RETARGETING | ATC 14d | FR,17.64,1828,27
2026-07-12,23851420073650415,RETARGETING | ATC 14d | FR,19.58,2797,28
2026-07-13,23851420073650415,RETARGETING | ATC 14d | FR,16.91,2523,29
2026-07-14,23851420073650415,RETARGETING | ATC 14d | FR,16.29,2875,27
2026-07-15,23851420073650415,RETARGETING | ATC 14d | FR,17.69,2084,32
2026-07-16,23851420073650415,RETARGETING | ATC 14d | FR,15.53,1723,27
2026-07-17,23851420073650415,RETARGETING | ATC 14d | FR,16.95,1275,26
2026-07-18,23851420073650415,RETARGETING | ATC 14d | FR,15.76,1283,25
2026-07-19,23851420073650415,RETARGETING | ATC 14d | FR,16.15,2030,27
2026-07-20,23851420073650415,RETARGETING | ATC 14d | FR,13.16,1066,21
2026-07-21,23851420073650415,RETARGETING | ATC 14d | FR,14.81,1020,21
2026-07-22,23851420073650415,RETARGETING | ATC 14d | FR,14.40,1269,23
2026-07-23,23851420073650415,RETARGETING | ATC 14d | FR,13.32,1483,24
2026-07-24,23851420073650415,RETARGETING | ATC 14d | FR,17.21,1792,28
2026-07-25,23851420073650415,RETARGETING | ATC 14d | FR,19.92,1585,31
2026-07-26,23851420073650415,RETARGETING | ATC 14d | FR,19.08,2335,30
2026-07-27,23851420073650415,RETARGETING | ATC 14d | FR,13.76,1267,22
2026-07-28,23851420073650415,RETARGETING | ATC 14d | FR,15.54,1351,22
2026-07-29,23851420073650415,RETARGETING | ATC 14d | FR,17.24,1985,26
2026-07-30,23851420073650415,RETARGETING | ATC 14d | FR,12.43,933,19
